times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
404,-0.1711367,-0.06880816,-0.4238315,-0.2262024,-0.2138338,-0.07494365
408,-0.1640112,-0.08549733,-0.4103384,-0.2123148,-0.1948276,-0.0297519
412,-0.1716804,-0.1008924,-0.3778593,-0.1835144,-0.1668065,-0.002617479
416,-0.2025225,-0.1099076,-0.3433124,-0.137712,-0.1343391,-0.01370915
420,-0.2521701,-0.1087736,-0.3148579,-0.08453707,-0.1046614,-0.05599859
424,-0.3068473,-0.09853744,-0.2854289,-0.0414938,-0.08684305,-0.09894676
428,-0.3518017,-0.08430573,-0.2419749,-0.02397549,-0.08789,-0.1126988
432,-0.3786642,-0.0711557,-0.181585,-0.03446353,-0.1074477,-0.09263889
436,-0.3881852,-0.06083307,-0.1180458,-0.05890416,-0.1359886,-0.06379881
440,-0.3882473,-0.05204659,-0.07152551,-0.07471307,-0.1598251,-0.06083175
444,-0.3886595,-0.04317112,-0.05088006,-0.06568938,-0.170132,-0.09892397
448,-0.3948993,-0.03403192,-0.0455309,-0.03221092,-0.1682888,-0.1586557
452,-0.4041189,-0.02521356,-0.03458338,0.01136714,-0.1621667,-0.1973572
456,-0.4069719,-0.01655295,-0.004480101,0.04849211,-0.1564483,-0.178902
460,-0.3955748,-0.007243594,0.04070629,0.0696971,-0.1465351,-0.09931079
464,-0.3721764,0.002466465,0.08402885,0.07179628,-0.1228265,0.01111067
468,-0.3502505,0.010403,0.108881,0.05135566,-0.08193638,0.1094726
472,-0.3445729,0.01403243,0.1080544,0.003349895,-0.03371934,0.1674364
476,-0.3572153,0.01298268,0.08285272,-0.07089492,0.003905458,0.1828244
480,-0.3723943,0.009555864,0.03750962,-0.1552318,0.01869635,0.1702461
484,-0.3665653,0.006495672,-0.02206839,-0.2218793,0.0137967,0.1440039
488,-0.3252559,0.004646618,-0.08260409,-0.2463236,0.003636071,0.1105175
492,-0.2514789,0.003230347,-0.1201333,-0.2206897,-0.0003848576,0.07353491
496,-0.1626862,0.001774857,-0.1147324,-0.1576568,0.00129078,0.03998473
