times,mu_N1_er_low,mu_N1_er_mid,mu_N1_er_high,mu_N1_RE_low,mu_N1_RE_mid,mu_N1_RE_high
400,-0.2936702,-0.02256021,-0.5022323,-0.196693,-0.2173901,-0.1824154
404,-0.327166,-0.02907598,-0.5500336,-0.153151,-0.217161,-0.120619
408,-0.3627135,-0.03187365,-0.6008905,-0.09903231,-0.2053259,-0.05793936
412,-0.4000736,-0.03347176,-0.6444072,-0.05255822,-0.1823097,-0.008229277
416,-0.4370119,-0.0340603,-0.6659284,-0.02260342,-0.1534834,0.02593382
420,-0.4661509,-0.03268568,-0.6548785,-0.001186524,-0.1274805,0.04499434
424,-0.4781435,-0.02924751,-0.6104004,0.02673228,-0.1134371,0.04703096
428,-0.4689351,-0.02513967,-0.5394534,0.06605879,-0.117103,0.03133368
432,-0.4441701,-0.02220047,-0.4505593,0.1050558,-0.1371164,0.004089371
436,-0.4163267,-0.02137984,-0.3503995,0.1262239,-0.1644392,-0.02356151
440,-0.3968419,-0.02235371,-0.24612,0.1227053,-0.1868254,-0.04488492
444,-0.3895294,-0.0238902,-0.1489264,0.1030253,-0.1959116,-0.06392872
448,-0.3897594,-0.02410014,-0.07292965,0.08046401,-0.191192,-0.09059492
452,-0.3889358,-0.02049201,-0.0289335,0.06008131,-0.1772339,-0.1283848
456,-0.3804601,-0.01071205,-0.01895376,0.03758776,-0.1569469,-0.1674126
460,-0.3634802,0.00561623,-0.0364949,0.009349813,-0.1280603,-0.1904609
464,-0.3428304,0.02524402,-0.07130076,-0.02023916,-0.08702819,-0.1867532
468,-0.3255516,0.04193632,-0.1133941,-0.04377528,-0.03664242,-0.1607574
472,-0.3158234,0.0498421,-0.1539661,-0.06208976,0.01119526,-0.1289049
476,-0.3113567,0.04723862,-0.1856989,-0.08698076,0.04209907,-0.1086119
480,-0.3041593,0.0374179,-0.2052204,-0.1298793,0.05025787,-0.1090633
484,-0.2854788,0.02589616,-0.2146874,-0.1869875,0.04332003,-0.1280036
488,-0.250341,0.01656429,-0.2160051,-0.2351226,0.03494613,-0.1516642
492,-0.1980978,0.01017965,-0.2009961,-0.2429479,0.03127689,-0.157777
496,-0.1337031,0.005816523,-0.1576994,-0.1957372,0.02731753,-0.1303384
